English,Translation,Dialect
My statement is showing an extra £1 charge and I am unsure why. Is there an explanation for this?,يظهر كشف حسابي رسوما إضافية بقيمة £ 1 ولست متأكدا من السبب. هل هناك تفسير لذلك؟,0
"I do not understand why there is a pending 1£ charge on my statement, I do not recall making this transaction. Can you please tell me what this is about?",لا أفهم سبب وجود رسوم معلقة بقيمة 1 جنيه إسترليني على كشف الحساب الخاص بي ، ولا أذكر إجراء هذه المعاملة. هل يمكنك أن تخبرني ما هذا؟,0
I've been charged an extra £1 and I don't know why,لقد تم تحصيل جنيه إسترليني إضافي مني ولا أعرف السبب,0
"When I used one of the ATMs in the city centre today, I tried to take out some money, but for whatever reason, the machine declined my card. Just checked it out in my account and that amount is still showing as pending! Is there any way that you can cancel this transaction, because I did not receive any money whatsoever from the ATM",عندما استخدمت أحد أجهزة الصراف الآلي في وسط المدينة اليوم ، حاولت سحب بعض المال ، لكن لأي سبب من الأسباب ، رفض الجهاز بطاقتي. فقط سحبها في حسابي ولا يزال هذا المبلغ معلقا! هل هناك طريقة يمكنك من خلالها إلغاء هذه العملية لأني لم أستلم أي أموال على الإطلاق من الصراف الآلي,0
I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money!,حاولت الحصول على نقود من بعض أجهزة الصراف الآلي في وسط المدينة في وقت سابق لكن الجهاز رفض بطاقتي. لقد رأيت أنه لا يزال يظهر على أنه معلق في حسابي. الرجاء إلغاؤه على الفور لأنني بالتأكيد لم أتلق هذه الأموال!,0
I withdrew cash but it still shows as pending?,لقد سحبت النقود لكنها ما زالت تظهر على أنها معلقة؟,0
How long does it take for a pending cash withdrawal?,كم من الوقت يستغرق السحب النقدي المعلق؟,0
"My cash withdrawal shows pending, why?",يظهر السحب النقدي الخاص بي معلق ، لماذا؟,0
Looking at my account I've noticed a charge that appears to still be in progress. I had attempted to get money out of the machine earlier but the machine seemed to have been broken. I never received my money so will you please look into this for me? I don't want to be charged for money I never actually received.,بالنظر إلى حسابي ، لاحظت وجود خصم يبدو أنه لا يزال قيد التقدم. لقد حاولت الحصول على نقود من الماكينة في وقت سابق ولكن يبدو أن الآلة معطلة. لم أتلق أموالي أبدا ، فهل ستنظر في هذا من أجلي؟ لا أريد أن أتحمل مقابل نقود لم أتلقها في الواقع.,0
What is the reason my cash withdrawal is still pending?,ما هو سبب استمرار السحب النقدي الخاص بي؟,0
Why would a cash withdrawal still be pending?,لماذا لا يزال السحب النقدي معلقا؟,0
"Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged?",مرحبا ، لدي معاملة قيد التنفيذ بالرغم من حقيقة أن ماكينة الصراف الآلي لا تعمل ، ماذا أفعل لتجنب تحصيل الرسوم؟,0
How long will my ATM withdrawal be pending?,ما هي المدة التي سيظل فيها السحب من أجهزة الصراف الآلي معلقا؟,0
Why is my cash still pending that I put in ATM?,لماذا لا تزال نقودي معلقة حتى أضعها في ماكينة الصراف الآلي؟,0
Why would a cash withdrawal be pending?,لماذا يكون السحب النقدي معلقا؟,0
Can you please tell me why my cash withdrawal is still pending?,هل يمكنك أن تخبرني من فضلك لماذا لا يزال السحب النقدي الخاص بي معلقا؟,0
What fiat currencies do you allow exchange with?,ما هي العملات الورقية التي تسمحون بتبادلها؟,0
Can you tell me how many currencies I can hold?,هل يمكن أن تخبرني كم عدد العملات التي يمكنني الاحتفاظ بها؟,0
Can you do exchanges of EUR?,هل يمكنك القيام بتبادل اليورو؟,0
What fiat currencies are used with holdings and exchanges?,ما هي العملات الورقية المستخدمة مع المقتنيات والتبادلات؟,0
Will you be able to exchange to EUR?,هل ستكون قادرا على الصرف باليورو؟,0
Is my country's currency supported by your system?,هل عملة بلدي يدعمها نظامك؟,0
What fiat money can I used in the exchange and holding?,ما هي النقود الورقية التي يمكنني استخدامها في الصرف والحيازة؟,0
What country's money can I hold currency in?,في أي بلد يمكنني الاحتفاظ بالعملة؟,0
What are eligible holding and exchange currencies?,ما هي عملات الاحتفاظ والصرف المؤهلة؟,0
Are you able to make exchanges to EUR?,هل أنت قادر على إجراء التبادلات باليورو؟,0
Can you make exchanges using the EUR?,هل يمكنك إجراء التبادلات باستخدام اليورو؟,0
Do you deal with EUR?,هل تتعامل مع اليورو؟,0
Can I have money of different country of origin.,هل يمكنني الحصول على نقود من بلد منشأ مختلف.,0
Which fiat currencies are supported?,ما هي العملات الورقية المدعومة؟,0
When can I expect my card? I live in the US.,متى يمكنني توقع بطاقتي؟ أنا أعيش في الولايات المتحدة.,0
When should I expect to receive my card?,متى يجب أن أتوقع استلام بطاقتي؟,0
I need my card soon.,أحتاج بطاقتي قريبا.,0
"Give me my card, I need it now!",أعطني بطاقتي ، أحتاجها الآن!,0
When can I expect my card to arrive?,متى أتوقع وصول بطاقتي؟,0
Can I have it delivered on the date I need it delivered?,هل يمكنني تسليمها في التاريخ الذي أحتاجه لتسليمها؟,0
"If I need delivery on a certain day, is that something that could be accommodated?",إذا كنت بحاجة إلى التوصيل في يوم معين ، فهل يمكن استيعاب ذلك؟,0
My card is needed soon,بطاقتي مطلوبة قريبا,0
Can you tell me how long it takes for a new card to come?,هل يمكن أن تخبرني كم من الوقت يستغرق ظهور بطاقة جديدة؟,0
Do I have a say when it's delivered?,هل لي رأي عندما يتم تسليمها؟,0
How many days to deliver to a US customer?,كم عدد الأيام للتسليم لعميل من الولايات المتحدة؟,0
what is the leadtime for a new card to show up in the mail?,ما هي المهلة الزمنية لبطاقة جديدة لتظهر في البريد؟,0
Does the auto top-up have any limits?,هل للتعبئة التلقائية أي حدود؟,0
Is there a auto top-up option?,هل يتوفر خيار التعبئة التلقائية لديكم؟,0
"If there isn't much money left over, will it top-up automatically?",إذا لم يتبقى الكثير من المال ، فهل سيتم تعبئته تلقائيا؟,0
I am inquiring about your auto top up feature.,أنا أستفسر عن ميزة التعبئة التلقائية الخاصة بك.,0
Can I set automatic top ups?,هل يمكنني تعيين عمليات التعبئة التلقائية؟,0
Is there an auto top up feature?,هل هناك ميزة تعبئة تلقائية؟,0
Where can I located the auto-top up option?,أين يمكنني تحديد موقع خيار التعبئة التلقائية؟,0
Is auto top up available?,هل الشحن التلقائي متاح؟,0
Where can I find the auto-top up feature?,أود معرفة مكان ميزة التعبئة التلقائية؟,0
"My funds are low, can I auto top up?",أموالي منخفضة ، هل يمكنني التعبئة التلقائية؟,0
What do I do if i accidentally broke my card?,ماذا أفعل إذا كسرت بطاقتي عن طريق الخطأ؟,0
My card was declined at a restaurant today and I don't know what the problem is.,تم رفض بطاقتي في أحد المطاعم اليوم ولا أعرف ما هي المشكلة.,0
WHAT IS THE REASON FOR THAT,ما هو السبب في ذلك,0
My card is not working when I try to use it.,بطاقتي لا تعمل عندما أحاول استخدامها.,0
Currently my card is broken.,حاليا بطاقتي مكسورة.,0
Why doesn't my card work for any transactions?,لماذا لا تعمل بطاقتي مع أي معاملات؟,0
How do I re-order a damaged card?,كيف أعيد طلب البطاقة التالفة؟,0
Why is my card not working anymore?,لا أستطيع أن أفهم لماذ بطاقتي لم تعد تعمل؟,0
How do I get my card to work?,كيف أحصل على بطاقتي للعمل؟,0
Why won't the machine accept my card anymore?,لماذا لا تقبل الآلة بطاقتي بعد الآن؟,0
My card won't work right now.,بطاقتي لا تعمل الآن.,0
What's going on with my card? I've tried multiple times and it never goes through.,ما الذي يحدث مع بطاقتي؟ لقد حاولت عدة مرات ولم يحدث ذلك أبدا.,0
What currencies can be exchanged in the app?,ما هي العملات التي يمكن صرفها في التطبيق؟,0
"With this app, will I be able to exchange currency?",مع هذا التطبيق ، هل سأتمكن من صرف العملات؟,0
How do I exchange currencies using the app?,كيف استبدل العملات باستخدام التطبيق؟,0
Is exchanging currencies a feature of the app?,هل صرف العملات سمة من سمات التطبيق؟,0
"I need to exchange my GBP to AUD, how would I do this?",أحتاج إلى استبدال الجنيه الإسترليني مقابل الدولار الأسترالي ، كيف أفعل ذلك؟,0
How do I go about exchanging currencies with this app?,كيف يمكنني تبادل العملات مع هذا التطبيق؟,0
Can I exchange currencies with the app?,هل يمكنني استبدال العملات مع التطبيق؟,0
How do I make a currency exchange?,كيف أقوم بصرف العملات؟,0
How do I start an exchange between GBP and AUD?,كيف أبدأ التبادل بين الجنيه الإسترليني والدولار الأسترالي؟,0
Whats types of currency can I exchange?,ما هي أنواع العملات التي يمكنني صرفها؟,0
My bag got stolen with all my cards. Can you please cancel my card and send a new one?,لقد سرقت حقيبتي بكل بطاقاتي. هل يمكنكم إلغاء بطاقتي وإرسال بطاقة جديدة؟,0
I think my card is stolen!,أعتقد أن بطاقتي مسروقة!,0
Are you able to guide me to my card's location?,هل تستطيع إرشادي إلى موقع بطاقتي؟,0
I think that the card is stolen. What are my next steps?,أعتقد أن البطاقة مسروقة. ما هي خطواتي المقبلة؟,0
Someone took my card without permission,شخص ما أخذ بطاقتي بدون إذن,0
"I lost my card, what do I do now?",فقدت بطاقتي ، ماذا أفعل الآن؟,0
"help, lost my card",مساعدة ، فقدت بطاقتي,0
I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?,أعتقد أن محفظتي سقطت على تيوب اليوم! أدركت بمجرد وصولي إلى مكتبي. كيف اقطع البطاقة؟,0
How do I report my card as lost or stolen?,كيف يمكنني الإبلاغ عن بطاقتي على أنها ضائعة أو مسروقة؟,0
Is there an age limit to open an account,هل هناك حد عمري لفتح الحساب,0
If I want my son to have his own account is that possible?,إذا كنت أريد أن يكون لابني حسابا خاصا به ، فهل هذا ممكن؟,0
What does my daughter need to open an account?,ماذا تحتاج ابنتي لفتح حساب؟,0
Can my children have an account?,هل يمكن لأولادي الحصول على حساب؟,0
How can I open an account for my children?,كيف يمكنني فتح حساب لأولادي؟,0
Is there an age limit to when my child can use these services?,هل هناك حد عمري للوقت الذي يمكن فيه لطفلي استخدام هذه الخدمات؟,0
Do you have a limit for someone's age?,هل لديك حد لعمر شخص ما؟,0
Am I able to open an account for my children?,هل أستطيع فتح حساب لأولادي؟,0
"My pin needs unblocking, unblock it please?",رقم التعريف الشخصي الخاص بي يحتاج إلى إلغاء الحظر ، من فضلك؟,0
What steps do I take to unblock my PIN?,ما هي الخطوات التي يجب أن أتخذها لإلغاء حظر رقم التعريف الشخصي الخاص بي؟,0
I can't input my pin again.,لا أستطيع إدخال رقم التعريف الشخصي الخاص بي مرة أخرى.,0
"I enetered the wrong information, I need my account unblocked How do I do that?",لقد أدخلت معلومات خاطئة ، أحتاج إلى إلغاء حظر حسابي كيف أفعل ذلك؟,0
Why was my PIN blocked?,ما سبب حظر رقم التعريف الشخصي الخاص بي؟,0
I accidentally exceeded my PIN tries. Please advise.,لقد تجاوزت محاولات رقم التعريف الشخصي الخاصة بي عن طريق الخطأ. يرجى تقديم النصيحة.,0
How do I unblock my PIN?,ما هي طريقة الغاء حظر رقم التعريف الشخصي الخاص بي؟,0
I forgot my pin and am blocked now. Can I reset it somewhere?,لقد نسيت رقم التعريف الشخصي الخاص بي وتم حظره الآن. هل يمكنني إعادة تعيينه في مكان ما؟,0
I accidentally put in the wrong pin too many times and now I need to unblock it. Can you assist with this?,لقد أدخلت رمز التعريف الشخصيا خاطئا عن طريق الخطأ عدة مرات والآن أحتاج إلى إلغاء قفله. هل يمكنك المساعدة في هذا؟,0
I need a new PIN number.,أحتاج إلى رقم سري تعريف شخصي.,0
How come when I tried to pay contactless at the bus it didnt work?,كيف يحدث ذلك عندما حاولت الدفع بدون تلامس في الحافلة التي لا تعمل؟,0
Why wasn't my contactless accepted at the metro?,لماذا لم يتم قبول الدفع اللا تلامسي الخاص بي في المترو؟,0
I can't get a contactless payment to work.,لا يمكنني الحصول على مدفوعات لاتلامسية للعمل.,0
My contactless is non-functional.,جهاز اللاتلامسي الخاص بي لا يعمل.,0
What is the fee to top-up my account,ما هي رسوم تعبئة حسابي,0
Am I going to see a charge for a SEPA transfer?,هل سأرى رسوما حوالات اليورو؟,0
Will I be charged any fee for receiving money?,هل سأدفع أي رسوم مقابل تلقي الأموال؟,0
Is there a fee to make a transfer?,هل هناك رسوم لإجراء التحويل؟,0
Are SWIFT Transfers available at this bank?,هل تحويلات سويفت متوفرة في هذا البنك؟,0
How much will it cost me for a SEPA transfer?,كم سيكلفني تحويل اموال من دول اليورو؟,0
What are the additional charges for a SWIFT transfer?,ما هي الرسوم الإضافية لتحويل سويفت؟,0
Does it cost me anything to top up my account via bank transfer?,هل يكلفني أي شيء لتعبئة حسابي عن طريق التحويل المصرفي؟,0
Is there a fee for topping off by transfer?,هل هناك رسوم لتتصدر عن طريق التحويل؟,0
Will I be charged for receiving the money?,هل سأدفع مقابل استلام المال؟,0
Do I pay a fee for SEPA transfers?,هل أدفع رسوما لتحويلات مالية باليورو ؟,0
Do you process SWIFT transfers?,هل تقومون بمعالجة حوالات سويفت؟,0
"It is still pending, I am still waiting. Your system just shows my top-up as pending. What is happening?",ما زالت معلقة ، ما زلت أنتظر. يظهر نظامك فقط تعبئة الرصيد على أنه معلق. ماذا يحدث؟,0
What if my top up doesn't go through?,ماذا لو لم يتم تعبئة الرصيد؟,0
How long will my top-up stay pending?,ما هي المدة التي ستبقى فيها تعبئة الرصيد معلقة؟,0
"My top up has been pending for an hour already, and I really need this to go through as soon as possible. Can you help?",لقد كان شحن رصيدي معلقا لمدة ساعة بالفعل ، وأحتاج حقا إلى تنفيذ ذلك في أقرب وقت ممكن. هل يمكنك المساعدة؟,0
Where are my funds? I topped off my car but it didn't seem to complete.,أين أموالي؟ تصدرت سيارتي ولكن يبدو أنها لم تكتمل.,0
I attempted to top up my account but it's been frozen in a pending state for well over an hour now! Is this normal? I'm a new customer and this is my first time doing this. I assumed it would be done quicker than this.,لقد حاولت تعبئة حسابي ولكن تم تجميده في حالة معلقة لأكثر من ساعة الآن! هل هذا طبيعي؟ أنا عميل جديد وهذه هي المرة الأولى التي أقوم فيها بذلك. لقد افترضت أنه سيتم القيام به بشكل أسرع من هذا.,0
What happened to my Top-Up? It's not reflected.,ماذا حدث لشحن الرصيد الخاص بي؟ لا ينعكس.,0
How long will my top-up be pending?,ما هي المدة التي ستكون فيها تعبئة الرصيد معلقة؟,0
How long does it take for a top up to go through,كم من الوقت تستغرق عملية إعادة التعبئة,0
Why is the top-up I made still pending.,لماذا لا تزال عملية إعادة التعبئة التي أجريتها معلقة.,0
My top up hasn't gone through,رصيدي لم ينفذ,0
"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",ما هي المدة التي يفترض أن تكون تعبئة الرصيد معلقة ، لأن الساعة طويلة جدا! هل يمكنك إصلاح هذا للمضي قدما؟,0
How long do I need to wait til my top up isn't pending?,ما هي المدة التي يجب أن أنتظرها حتى لا يتم تعليق إعادة التعبئة؟,0
Is there a reason my top-up has not gone through?,هل هناك سبب لعدم تنفيذ إعادة التعبئة؟,0
"Hello, I'm a brand new customer and tried topping up for the first time today. It has been pending for half an hour and doesn't seem to be working. Please resolve this.",مرحبا ، أنا عميل جديد تماما وحاولت شحن الرصيد لأول مرة اليوم. ظل معلقا لمدة نصف ساعة ولا يبدو أنه يعمل. الرجاء حل هذا.,0
"I needed to make a payment on my account, but I typed in the incorrect number. The app won't allow me to cancel this transaction. I need it cancelled ASAP!!",كنت بحاجة إلى إجراء دفعة على حسابي ، لكنني أدخلت الرقم غير الصحيح. لن يسمح لي التطبيق بإلغاء هذه المعاملة. أحتاج إلى إلغائها في أسرع وقت ممكن !!,0
I made a mistake this morning when I did a transfer. How do I reverse it?,لقد ارتكبت خطأ هذا الصباح عندما قمت بعملية تحويل. كيف يمكنني عكس ذلك؟,0
Is there any way to cancel my transfer,هل هناك أي طريقة لإلغاء التحويل الخاص بي,0
I need to cancel a transfer I made.,أحتاج إلى إلغاء التحويل الذي أجريته.,0
I wanna revert a transaction i did this morning.,أريد إعادة معاملة قمت بها هذا الصباح.,0
How to cancel a transaction,كيفية إلغاء الصفقة,0
It is extremely important that I cancel the transfer I made yesterday and put the money into a different account. Is this possible?,من المهم للغاية أن ألغي التحويل الذي أجريته بالأمس وأضع المال في حساب مختلف. هل هذا ممكن؟,0
Is there any way to cancel a recent transfer? I did not mean to make it and need to make sure it does not go through.,هل هناك أي طريقة لإلغاء تحويل حديث؟ لم أقصد القيام بذلك وأحتاج إلى التأكد من عدم مروره.,0
stop the transaction,وقف الصفقة,0
"I need you to stop the transfer I just started as soon as possible, I just realized it's not correct!",أريدك أن توقف النقل الذي بدأته للتو في أقرب وقت ممكن ، لقد أدركت للتو أنه غير صحيح!,0
"I made a mistake and did a transaction to a wrong account, can I cancel?",لقد ارتكبت خطأ وقمت بإجراء معاملة لحساب خاطئ ، هل يمكنني الإلغاء؟,0
I need to cancel my recent transfer as soon as possible. I made an error there. Please help before it goes through.,أحتاج إلى إلغاء التحويل الأخير الخاص بي في أقرب وقت ممكن. لقد ارتكبت خطأ هناك. الرجاء المساعدة قبل أن يمر.,0
"I made a mistake when making my last transfer, please cancel before it goes thru.",لقد أخطأت عند إجراء التحويل الأخير ، يرجى الإلغاء قبل الانتقال.,0
I made a transfer into my account and now I need to cancel it,لقد أجريت تحويلا إلى حسابي وأحتاج الآن إلى إلغائه,0
"Cancel my transfer, please.",ألغي التحويل الخاص بي من فضلك.,0
What do I need to do to cancel a transaction?,ماذا علي أن أفعل لإلغاء معاملة؟,0
Are top-ups unlimited?,هل عمليات إعادة التعبئة غير محدودة؟,0
What's the limit to how much I can top up?,ما هو الحد الأقصى لمقدار الشحن؟,0
How many top-ups am I allowed to do?,كم عدد عمليات تعبئة الرصيد المسموح لي بالقيام بها؟,0
Is there a top-up limit that I have to stay under during a given period of time?,هل هناك حد لزيادة الرصيد يجب أن أبقى أقل منه خلال فترة زمنية معينة؟,0
Is there a limit for the amount I can top up?,هل هناك حد للمبلغ الذي يمكنني تعبئته؟,0
What is the highest amount I can top-up?,ما هو أكبر مبلغ يمكنني تعبئته؟,0
What is the maximum top up?,ما هو الحد الأقصى للشحن؟,0
Tell me if there is a top-up limit.,أخبرني إذا كان هناك حد لزيادة الرصيد.,0
Tell me about the limit for top ups.,أخبرني عن الحد الأقصى لعمليات الشحن.,0
Can I top up any amount?,هل يمكنني تعبئة أي مبلغ؟,0
How much can I top up on my card?,كم يمكنني تعبئة بطاقتي؟,0
why did i only get 20.00,لماذا لم أحصل إلا على 20.00,0
The cash I wanted wasn't there.,النقود التي أردتها لم تكن موجودة.,0
The amount of cash I received did not match the amount I requested,المبلغ النقدي الذي تلقيته لا يتطابق مع المبلغ الذي طلبته,0
I went tot the ATM earlier today and didn't realize this till now but I did not get all the money I requested. I believe my account was charged for 100 but I only got 80. Is there any way we can solve this problem?,ذهبت إلى ماكينة الصراف الآلي في وقت سابق اليوم ولم أدرك ذلك حتى الآن ولكني لم أحصل على كل الأموال التي طلبتها. أعتقد أنه تم تحصيل 100 دولار من حسابي ولكنني حصلت على 80 فقط. هل هناك أي طريقة لحل هذه المشكلة؟,0
It didn't give me my cash,لم تعطيني نقودي,0
I only got $20 of the $100 that I attempted to withdraw.,لم أحصل إلا على 20 دولارا من أصل 100 دولار حاولت سحبها.,0
Why did I get less from the ATM?,لماذا أحصل على أقل من أجهزة الصراف الآلي؟,0
Machines make mistakes too! The ATM gave me the wrong amount of money. Too much!,الآلات ترتكب الأخطاء أيضا! أعطتني أجهزة الصراف الآلي مبلغا خاطئا من المال. أكثر مما ينبغي!,0
I did not receive my full withdrawal amount,لم أتلق مبلغ السحب الكامل,0
"I only received $20, but I requested $100.",تلقيت 20 دولارا فقط ، لكنني طلبت 100 دولار.,0
I tried to withdraw 40 pounds but only 20 came out. Did you steal my money?,حاولت سحب 40 جنيها لكن خرج 20 جنيها فقط. هل سرقت نقودي؟,0
I was not given the amount of cash I withdrew,لم أحصل على المبلغ النقدي الذي سحبه,0
Earlier today I took money out the ATM. After checking the app the amount is so much higher than the amount I received.,في وقت سابق اليوم ، قمت بسحب الأموال من جهاز الصراف الآلي. بعد التحقق من التطبيق ، يكون المبلغ أعلى بكثير من المبلغ الذي تلقيته.,0
I wanted to take out $100 but I only got $20.,أردت أن أحصل على 100 دولار لكنني لم أحصل إلا على 20 دولارا.,0
The ATM is messed up. It gave me less than I wanted.,أفسدت ماكينة الصراف الآلي. أعطتني أقل مما أردت.,0
Why did I only get $20 when I asked for $100?,لماذا لم أحصل إلا على 20 دولارا عندما طلبت 100 دولار؟,0
The ATM did not give me as much cash as I requested.,لم تعطني ماكينة الصراف الآلي المبلغ النقدي الذي طلبته.,0
I tried to withdraw 50 pounds but it only gave me 30. Where is the rest of my money?,حاولت سحب 50 جنيها لكنني أعطتني 30 جنيها فقط. أين باقي أموالي؟,0
